Địa phương,Năm,Tỷ lệ dân số từ 15 tuổi trở lên biết chữ (%),Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo (%),Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc so với tổng dân số (%),Lực lượng lao động từ 15 tuổi trở lên (Nghìn người),"Bình quân Thu nhập từ tiền lương, tiền công","Bình quân Thu nhập từ nông, lâm nghiệp, thuỷ sản","Bình quân Thu nhập phi nông, lâm nghiệp, thuỷ sản",Bình quân Các khoản thu nhập khác,Bình quân thu nhập Nhóm 1,Bình quân thu nhập Nhóm 2,Bình quân thu nhập ,Bình quân thu nhập Nhóm 4,Bình quân thu nhập Nhóm 5,Tuổi kết hôn trung bình lần đầu,Nam,Nông thôn,Nữ,Thành thị,Tỷ lệ tăng tự nhiên (‰),Tỷ suất chết thô (‰),Tỷ suất sinh thô (‰),Trung bình số con/phụ nữ,Chỉ số giá sinh hoạt theo không gian theo địa phương (Hà Nội = 100%) (%),Số vụ ly hôn,Số nam/100 nữ,Tỷ suất di cư thuần (‰),Số lượng Kết hôn lần đầu,Số lượng Kết hôn lần thứ 2 trở lên,Thu nhập bình quân đầu người một tháng - Nhóm thu nhập thấp nhất,Thu nhập bình quân đầu người một tháng - Nhóm thu nhập cao nhất,Nhóm thu nhập cao nhất so với nhóm thu nhập thấp nhất (Lần),Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Vùng,Bình quân dân số (Nghìn người),Tỷ lệ dân số Nông thôn,Tỷ lệ dân số Thành thị,Phân bố dân số
An Giang,2017,92.1,12.5,54.6,1096.2,,,,,,,,,,25.2,970.4,1348.6,983.8,605.6,1.9,9.7,11.6,1.77,93.69,661,98.6,-3.7,,,,,,3536.7,2161.7,611,Đồng bằng sông Cửu Long,1954.2,0.690103367,0.309896633,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2018,91.7,13.6,54.8,1078.7,1232000,780000,1012000,536000,1008000,2029000,2716000,3643000,8423000,25.2,958.9,1326,972.2,605,2.8,8.6,11.4,1.78,93.08,784,98.6,-9.9,17293,1720,1008000,8423000,8.4,3536.7,2164.2,612,Đồng bằng sông Cửu Long,1931,0.686690834,0.313309166,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2019,91.6,14.6,51,1002.5,1399000,756000,1142000,543000,1046000,2049000,3109000,4176000,8887000,25.1,947.1,1304.8,960.3,602.6,2.3,9.7,11.9,1.85,93.97,703,98.62,-14.4,17282,1798,1046000,8887000,8.5,3536.7,1907.4,539,Đồng bằng sông Cửu Long,1907.4,0.68407256,0.31592744,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2020,90.75,13.86,50.53,985.55,,,,,1165060,2123790,2952600,3864400,6588900,26.06,945.6,1302.89,958.93,601.64,3.24,9.27,12.51,1.9,92.03,589,98.61,-16.16,14609,1839,1165100,6588900,5.7,3536.68,1904.53,539,Đồng bằng sông Cửu Long,1904.53,0.684100539,0.315899461,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2021,91.28,13.38,46.28,922.2,,,,,1141050,1997950,2830260,3769310,7315030,26.25,948.15,1263.48,961.36,646.02,3.99,8.07,12.07,1.94,92.56,609,98.63,-22.85,12319,1446,1141100,7315000,6.4,3536.83,1909.51,540,Đồng bằng sông Cửu Long,1909.5,0.661681068,0.338318932,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2007,,,48.8,497.6,,,,,,,,,,,486,503.9,484.2,466.3,12.5,4.4,16.9,2.09,,,100.4,0.3,,,,,,,,,Ðông Nam Bộ,970.2,0.519377448,0.480622552,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2008,,16.7,49.9,519,,,,,,,,,,,493,502.6,490.6,481,13,4.1,17.1,2.13,,,100.5,-2.3,,,,,,,,,Ðông Nam Bộ,983.6,0.510980073,0.489019927,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2009,96,18.7,48.8,513,,,,,,,,,,,499.1,500.7,499.4,497.8,11.2,6.6,17.7,2.01,,,99.9,4.3,,,,,,,,,Ðông Nam Bộ,998.5,0.501452178,0.498547822,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2010,96.2,15.7,50.6,534.7,874900,216900,442100,161100,486000,889000,1216000,1696000,4173000,26,509.78,502.96,509.79,516.61,9.1,6.5,15.6,1.88,,,100,4.4,,,486000,4173000,8.6,,,,Ðông Nam Bộ,1019.57,0.493306002,0.506693998,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2011,96.4,16.5,52.6,560.6,,,,,,,,,,,520.61,504.81,520.19,535.99,8.9,6.3,15.2,1.82,,,100.08,5.7,,,,,,1989.5,1022.5,513.95,Ðông Nam Bộ,1040.8,0.485021138,0.514978862,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2012,96,22.1,53.6,574.8,1580000,408000,623000,293000,896000,1431000,1942000,2766000,7456000,,529.35,504.17,528.49,553.68,7.8,7.1,14.9,1.7,,,100.16,2.8,,,896000,7456000,8.3,1989.5,1033,519.23,Ðông Nam Bộ,1057.85,0.476598762,0.523401238,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2013,96.2,23.2,53.8,590.2,,,,,,,,,,26,539.09,504.01,537.77,572.85,8.7,7.5,16.2,1.92,,236,100.25,4,,,,,,1989.5,1046.5,526.01,Ðông Nam Bộ,1076.86,0.468036699,0.531963301,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2014,96.2,24.72,49.8,554.63,1647000,535000,1245000,325000,1180000,1840000,2486000,3380000,9851000,26,547.58,502.23,545.79,591.15,11.5,5.1,16.5,1.97,,345,100.33,7.2,,,1180000,9851000,8.4,1989.5,1059.5,533,Ðông Nam Bộ,1093.38,0.459337101,0.540662899,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2015,96.8,25,52,593.1,,,,,,,,,,26.8,553.3,497.5,551,606.8,8.1,4.5,12.5,1.56,,440,100.4,0.7,,,,,,1989.5,1072.6,539,Ðông Nam Bộ,1104.3,0.450511636,0.549488364,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2016,97.3,25.7,54.3,621.6,1831000,495000,1784000,303000,1373000,2157000,2816000,3786000,11953000,27,560.2,493.4,557.4,624.2,7.7,4.4,12.1,1.52,,411,100.5,1.1,,,1373000,11953000,8.7,1980.8,1092,551,Ðông Nam Bộ,1117.6,0.441481747,0.558518253,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2017,97.7,26.5,52.5,606.6,,,,,,,,,,27.3,565.3,487.4,562,639.8,4.9,5.6,10.5,1.37,,458,100.6,0.4,,,,,,1981,1101.6,556,Ðông Nam Bộ,1127.2,0.432398864,0.567601136,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2018,97.2,25.9,52.4,610.1,2444000,534000,1249000,654000,1426000,2384000,3103000,4298000,13276000,27.7,571,481.6,567.3,656.7,6,5,11,1.51,,582,100.7,-0.7,9253,1291,1426000,13276000,9.3,1981,1112.9,562,Ðông Nam Bộ,1138.3,0.42308706,0.57691294,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2019,97.5,27.8,53.1,624.1,3196000,298000,1275000,541000,1456000,2481000,3792000,5186000,13660000,26.3,578.2,476.6,574,675.6,9.8,5,14.8,1.87,,576,100.74,1.8,8989,1236,1456000,13660000,9.4,1981,1152.2,582,Ðông Nam Bộ,1152.2,0.413643465,0.586356535,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2020,97.55,30.07,49.46,597.38,,,,,1386950,2512340,3720580,5177020,10302080,27.6,578.97,495.63,588.97,672.31,10.99,4.77,15.75,1.94,,520,98.3,3.21,7627,1400,1387000,10302100,7.4,1980.98,1167.94,590,Ðông Nam Bộ,1167.94,0.424362553,0.575637447,Tương đối cân bằng giữa Thành thị và Nông thôn
Bà Rịa - Vũng Tàu,2021,97.73,29.89,48.04,621.5,,,,,1427390,2409170,3519380,4744180,10018430,28.09,583,489.21,593.08,686.87,8.48,5.39,13.87,1.78,,445,98.3,0.92,4641,863,1427400,10018400,7,1982.56,1176.08,593,Ðông Nam Bộ,1176.08,0.415966601,0.584033399,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Dương,2007,,,53.8,726.3,,,,,,,,,,,626,914.7,681,392.3,14.5,4.5,19,1.74,,,91.9,41.1,,,,,,,,,Ðông Nam Bộ,1307,0.699846978,0.300153022,Hơn 2/3 dân số sống tại Nông thôn
Bình Dương,2008,,13.3,58,855.6,,,,,,,,,,,675,982.2,727.7,420.5,15.2,4.3,19.5,1.85,,,92.8,27.1,,,,,,,,,Ðông Nam Bộ,1402.7,0.700221002,0.299778998,Hơn 2/3 dân số sống tại Nông thôn
Bình Dương,2009,97.2,13.3,62.7,982.4,,,,,,,,,,,727.5,1059.5,785,453,17.4,5.6,23,1.7,,,92.7,68.1,,,,,,,,,Ðông Nam Bộ,1512.5,0.700495868,0.299504132,Hơn 2/3 dân số sống tại Nông thôn
Bình Dương,2010,95.3,13.7,60.9,1013.1,1099800,710300,753100,134800,980000,1295000,1755000,2441000,7014000,24.8,781.86,1082.2,836.27,535.92,15.2,5.5,20.7,1.72,88.74,,93.49,74.6,,,980000,7014000,7.2,,,,Ðông Nam Bộ,1618.12,0.668800831,0.331199169,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Dương,2011,96.2,14.9,62.3,1084.5,,,,,,,,,,,825.13,603.31,874.8,1096.63,14.2,5.5,19.7,1.76,,,94.32,42.7,,,,,,2694.4,1659.1,615.76,Ðông Nam Bộ,1699.94,0.354900761,0.645099239,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Dương,2012,97.1,14.4,64.8,1162.9,1514000,1109000,774000,171000,1138000,2095000,2853000,3808000,7905000,,872.67,636.78,917.04,1152.93,15.9,5.6,21.5,1.7,89.05,,95.16,48.9,,,1138000,7905000,6.9,2694.4,1731,642.44,Ðông Nam Bộ,1789.71,0.35580066,0.64419934,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Dương,2013,97.2,17.2,64.9,1241.5,,,,,,,,,,24.4,917.68,668.46,955.8,1205.02,16.6,5.6,22.2,1.78,89.7,363,96.01,34.5,,,,,,2694.4,1802.5,668.98,Ðông Nam Bộ,1873.48,0.356801247,0.643198753,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Dương,2014,97.2,18.21,66.1,1332.6,1773000,825000,937000,234000,1282000,2102000,2774000,3671000,8945000,24.2,973.21,455.5,1004.63,1522.34,14.6,3.8,18.5,1.44,88.63,390,96.87,52,,,1282000,8945000,7,2694.4,1873.6,695,Ðông Nam Bộ,1977.84,0.230301743,0.769698257,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2015,97.3,16.8,65.2,1390.5,,,,,,,,,,24.4,1022.8,481.7,1046.4,1587.5,14.8,3.8,18.6,1.59,93.64,480,97.7,42,,,,,,2694.4,1947.2,723,Ðông Nam Bộ,2069.2,0.232795283,0.767204717,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2016,96.8,17.1,65.1,1430.5,2876000,357000,1392000,380000,1671000,2933000,3739000,4919000,11819000,25.2,1062,506.5,1076.8,1632.3,13.1,5.2,18.3,1.61,97.49,459,98.6,23.5,,,1671000,11819000,7.1,2694.7,1995.8,741,Ðông Nam Bộ,2138.8,0.236815036,0.763184964,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2017,96.3,18.7,64.9,1492.1,,,,,,,,,,24.9,1110.9,530.3,1116.2,1696.9,16.5,3.7,20.2,1.9,95.38,484,99.5,23.9,,,,,,2694.6,2071,769,Ðông Nam Bộ,2227.2,0.238101652,0.761898348,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2018,96.5,20.6,65,1562.2,3704000,427000,2124000,567000,2177000,4001000,5012000,6795000,16171000,24.2,1175.2,469.5,1170,1875.7,11.5,3.8,15.2,1.53,95.92,469,100.4,47.9,8321,1784,2177000,16171000,7.4,2694.6,2163.6,803,Ðông Nam Bộ,2345.2,0.200196145,0.799803855,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2019,98,21.9,65.3,1647.6,4613000,253000,2108000,458000,2152000,4454000,6396000,8183000,15993000,25,1236.4,494.5,1219.9,1961.9,14.2,3.4,17.6,1.54,95.1,364,101.36,40.1,7813,1825,2152000,15993000,7.4,2694.6,2456.3,912,Ðông Nam Bộ,2456.4,0.201310861,0.798689139,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2020,96.57,20.13,61.92,1650.85,,,,,3105080,4708710,6085010,8202580,13119290,24.96,1321.72,402.38,1258.83,2178.17,15.17,3.3,18.47,1.63,95.16,236,105,58.6,6756,1572,3105100,13119300,4.2,2694.64,2580.55,958,Ðông Nam Bộ,2580.55,0.155928,0.844072,Hơn 2/3 dân số sống tại Thành thị
Bình Dương,2021,97.3,21.03,62.4,1656.2,,,,,3581100,5033090,6547570,8087720,12379610,26.11,1308.56,407.11,1288.22,2189.68,14.63,3.59,18.22,1.62,93.7,137,101.58,30.75,4656,1340,3581100,12379600,3.5,2694.64,2596.79,964,Ðông Nam Bộ,2596.79,0.156774325,0.843225675,Hơn 2/3 dân số sống tại Thành thị
Bình Phước,2007,,,52.1,458.5,,,,,,,,,,,427,699.9,411.3,138.4,15.3,5.1,20.4,2.47,,,103.8,-5.3,,,,,,,,,Ðông Nam Bộ,838.3,0.834903972,0.165096028,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2008,,10,55.9,496.9,,,,,,,,,,,436,715.2,422,142.8,15,4.8,19.8,2.38,,,103.3,-3.6,,,,,,,,,Ðông Nam Bộ,858,0.833566434,0.166433566,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2009,91.8,12.3,57,511.1,,,,,,,,,,,444.3,728.2,430.7,146.8,14.4,7,21.4,2.45,,,103.2,-0.1,,,,,,,,,Ðông Nam Bộ,875,0.832228571,0.167771429,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2010,94.1,14.9,57.4,518.5,514100,640800,270300,100600,531000,814000,1129000,1583000,3565000,24,449.12,731.23,436.02,153.9,14.4,6.9,21.3,2.43,93.8,,103,-6.9,,,531000,3565000,6.7,,,,Ðông Nam Bộ,885.13,0.826127236,0.173872764,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2011,94.9,12.5,57.1,528.2,,,,,,,,,,,456.11,737.52,443.46,162.04,13.7,6.4,20.1,2.31,,,102.85,-0.8,,,,,,6871.5,897.3,130.58,Ðông Nam Bộ,899.56,0.819867491,0.180132509,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2012,92.8,13.4,61.1,560.6,802000,1003000,313000,100000,703000,1345000,1817000,2476000,4740000,,461.75,741.27,449.61,170.08,12.1,6.9,19,2.22,93.47,,102.7,-2.2,,,703000,4740000,6.7,6871.5,908.9,132.27,Ðông Nam Bộ,911.35,0.813375761,0.186624239,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2013,93.3,15.1,59.4,561,,,,,,,,,,24.2,467.56,744.94,455.93,178.55,13.3,6.5,19.9,2.43,92.95,261,102.55,-2.1,,,,,,6871.5,920.7,133.99,Ðông Nam Bộ,923.49,0.806657354,0.193342646,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2014,92.7,15.91,59.4,565.71,998000,1076000,469000,150000,860000,1589000,2174000,3019000,5792000,24.2,472.72,747.2,461.64,187.16,13.9,5.2,19.1,2.3,95.09,326,102.4,-4,,,860000,5792000,6.7,6871.5,932.5,136,Ðông Nam Bộ,934.36,0.799691768,0.200308232,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2015,93.4,12.9,58.7,567,,,,,,,,,,23.3,478.9,750.6,468.3,196.6,9.4,6.3,15.7,2.05,96.12,363,102.2,-0.5,,,,,,6871.5,944.4,137,Ðông Nam Bộ,947.2,0.792440878,0.207559122,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2016,95.3,13.7,58.8,580.2,1226000,1241000,557000,124000,1034000,1853000,2481000,3316000,7093000,25.2,486.3,755.7,476.3,207,10.9,4.3,15.2,1.92,96.8,365,102.1,3,,,1034000,7093000,6.9,6876.6,956.4,139,Ðông Nam Bộ,962.7,0.784979744,0.215020256,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2017,92.9,14,59.3,593.4,,,,,,,,,,25.3,491,755.9,481.6,216.6,9.4,6.1,15.5,2.02,94.55,409,102,-2.7,,,,,,6876.8,968.9,141,Ðông Nam Bộ,972.5,0.777275064,0.222724936,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2018,91.1,16.8,58.1,588.8,1579000,1108000,687000,230000,1126000,1974000,2721000,3679000,8535000,25.2,496.9,757.6,488.1,227.3,9.5,5.8,15.3,1.99,95.27,387,101.8,-0.7,7842,132,1126000,8535000,7.6,6876.8,979.6,142,Ðông Nam Bộ,984.9,0.769215149,0.230784851,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2019,93.8,15.8,59,603.8,1603000,1157000,944000,177000,1071000,2467000,3282000,4418000,8208000,24.5,503,759.2,494.8,238.5,12.9,4.7,17.6,2.27,94.84,293,101.65,-1.7,5675,1018,1071000,8208000,7.7,6876.8,997.8,145,Ðông Nam Bộ,997.7,0.760950185,0.239049815,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2020,94.29,18.06,58.12,603.84,,,,,1303890,2417300,3419070,4474560,8613840,25.71,509.65,768.03,501.43,243.05,13.01,4.48,17.49,2.25,93.92,346,101.64,-2.01,6177,1128,1303900,8613800,6.6,6876.76,1011.08,147,Ðông Nam Bộ,1011.08,0.759613483,0.240386517,Hơn 2/3 dân số sống tại Nông thôn
Bình Phước,2021,93.44,19.21,56.95,600.5,,,,,1554400,2621960,3391520,4367760,8103670,25.31,516.24,776.75,508.04,247.54,10.21,6.66,16.86,2.21,92.77,393,101.61,-2.22,4689,829,1554400,8103700,5.2,6873.56,1024.29,149,Ðông Nam Bộ,1024.29,0.75833016,0.24166984,Hơn 2/3 dân số sống tại Nông thôn
Bình Thuận,2007,,,50.6,607.8,,,,,,,,,,,574.5,721,577.4,430.9,14.6,4.3,18.9,2.4,,,99.5,-8.3,,,,,,,,,Bắc Trung Bộ và duyên hải miền Trung,1151.9,0.625922389,0.374077611,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2008,,10.6,50.3,606.5,,,,,,,,,,,583.4,715.9,578.6,446.1,14.6,4.4,18.9,2.38,,,100.8,-3.4,,,,,,,,,Bắc Trung Bộ và duyên hải miền Trung,1162,0.616092943,0.383907057,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2009,92,10.8,50.7,622.2,,,,,,,,,,,585.7,709.9,583.7,459.5,10.5,6.1,16.6,2.07,,,100.3,-4.6,,,,,,,,,Bắc Trung Bộ và duyên hải miền Trung,1169.4,0.607063451,0.392936549,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2010,92.8,10.6,53.3,647.4,430000,335000,287000,108000,437000,698000,962000,1340000,2355000,25,588.49,714.61,586.22,460.1,10.7,6.1,16.8,2.09,86.02,,100.39,-5.4,,,437000,2355000,5.4,,,,Bắc Trung Bộ và duyên hải miền Trung,1174.71,0.608328864,0.391671136,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2011,93.9,9.3,54.9,664.5,,,,,,,,,,,591.67,719.68,589,461,10.6,6.3,16.9,2.14,,,100.45,-6.4,,,,,,7812.9,1184.5,151.61,Bắc Trung Bộ và duyên hải miền Trung,1180.68,0.609547041,0.390452959,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2012,93.3,10.8,56.6,703.4,667000,504000,431000,145000,639000,1109000,1498000,2034000,3444000,,596.34,726.56,593.25,463.03,12.7,5.5,18.3,2.39,87.24,,100.52,-3.8,,,639000,3444000,5.4,7812.8,1191.6,152.52,Bắc Trung Bộ và duyên hải miền Trung,1189.59,0.610765054,0.389234946,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2013,93.9,10.8,55.8,690.8,,,,,,,,,,25.1,599.08,731.11,595.58,463.56,10.2,6,16.1,2.15,86.75,258,100.59,-3.2,,,,,,7812.8,1199.5,153.53,Bắc Trung Bộ và duyên hải miền Trung,1194.67,0.611976529,0.388023471,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2014,93,12.36,56.4,699.6,891000,736000,564000,204000,937000,1463000,1938000,2595000,5039000,26.2,600.58,733.14,596.68,464.12,7,5.8,12.7,1.57,87.91,325,100.65,-4.5,,,937000,5039000,5.4,7813.1,1207.4,155,Bắc Trung Bộ và duyên hải miền Trung,1197.26,0.612348195,0.387651805,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2015,93.3,13.4,57.3,712.5,,,,,,,,,,26.2,604.9,740.6,600.6,464.8,8.8,6.6,15.4,2.04,91.39,395,100.7,-2.1,,,,,,7813.1,1215.2,156,Bắc Trung Bộ và duyên hải miền Trung,1205.4,0.614401858,0.385598142,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2016,93.7,13.4,57.3,713.6,1175000,720000,579000,240000,1071000,1664000,2158000,2846000,5853000,26.7,609.2,747.1,604.4,466.5,7.4,6.5,13.9,1.81,95.84,444,100.8,-0.1,,,1071000,5853000,5.5,7944,1222.7,154,Bắc Trung Bộ và duyên hải miền Trung,1213.6,0.61560646,0.38439354,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2017,94,15.6,57.3,715.6,,,,,,,,,,26.5,612.8,752.8,607.6,467.7,6.5,6.2,12.7,1.75,93.79,538,100.9,-1.5,,,,,,7943.9,1230.4,155,Bắc Trung Bộ và duyên hải miền Trung,1220.5,0.616796395,0.383203605,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2018,93.2,14,57.6,723.8,1537000,940000,658000,310000,1163000,2385000,3006000,3688000,7029000,26.4,616.5,758.4,610.8,468.8,6.8,6.8,13.6,1.82,93.64,623,100.9,-1.6,11629,957,1163000,7029000,6,7943.9,1239.2,156,Bắc Trung Bộ và duyên hải miền Trung,1227.2,0.617992177,0.382007823,Tương đối cân bằng giữa Thành thị và Nông thôn
Bình Thuận,2019,94.6,16.3,57.4,726.8,1614000,1039000,816000,249000,1300000,2360000,3152000,3940000,7883000,25.7,619.2,763,613.1,469.3,8.7,5.8,14.6,1.91,94.48,425,100.99,-4.1,10924,1403,1300000,7883000,6.1,7943.9,1232.3,155,Bắc Trung Bộ và duyên hải miền Trung,1232.3,0.619167411,0.380832589,Tương đối cân bằng giữa Thành thị và Nông thôn
